URL,id,openDoarId,name,Russell_member,RSE_group,email,uri,uni_sld,homepageUrl,source,ris_software,ris_software_enum,metadataFormat,createdDate,location,logo,type,stats,contains_software_set,Num_sw_records,Error,Manual_Num_sw_records,Category,Notes
www.repository.cam.ac.uk/oai/request,27,,Apollo,yes,yes,support@repository.cam.ac.uk,,cam,https://www.repository.cam.ac.uk,,dspace,dspace,oai_dc,2011-05-13T09:01:27+01:00,"{'countryCode': 'gb', 'latitude': 52.208, 'longitude': 0.122374}",https://api.core.ac.uk/data-providers/27/logo,REPOSITORY,,No,0,No error,45,Contains software,"several sets, all under different names.  Metadata for records includes dc:type software"
era.ed.ac.uk/dspace-oai/request,39,463,Edinburgh Research Archive,yes,yes,scholcomms@ed.ac.uk,,ed,https://era.ed.ac.uk/,,dspace,dspace,oai_dc,2011-05-13T09:01:31+01:00,"{'countryCode': 'gb', 'latitude': 55.95, 'longitude': -3.2}",https://api.core.ac.uk/data-providers/39/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
ore.exeter.ac.uk/oai/request,504,956,Open Research Exeter,yes,yes,openaccess@exeter.ac.uk,,exeter,https://ore.exeter.ac.uk,,dspace,dspace,oai_dc,2013-08-06T15:50:15+01:00,"{'countryCode': 'GB', 'latitude': 50.736, 'longitude': -3.5357}",https://api.core.ac.uk/data-providers/504/logo,REPOSITORY,,No,0,No error,23,Contains software,https://ore.exeter.ac.uk/repository/browse?type=type&value=Software
spiral.imperial.ac.uk/dspace-oai/request,105,1032,Spiral - Imperial College Digital Repository,yes,yes,j.murtagh@imperial.ac.uk,,imperial,http://spiral.imperial.ac.uk,,dspace,dspace,oai_dc,2011-05-14T10:46:34+01:00,"{'countryCode': 'GB', 'latitude': 51.488, 'longitude': -0.172}",https://api.core.ac.uk/data-providers/105/logo,REPOSITORY,,No,0,BadVerbError,286,Contains software,Manual search for type contains �software�
rdmc.nottingham.ac.uk/oai/openaire,13343,,Nottingham Research Data Management Repository (University of Nottingham),yes,yes,,,nottingham,https://rdmc.nottingham.ac.uk,,DSpace XOAI,dspace,oai_dc,2019-09-23T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 52.938636, 'longitude': -1.195158}",https://api.core.ac.uk/data-providers/13343/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,"Does actually contain software (even has a metadata uon.type which is free text), but you can�t directly search for it."
ota.bodleian.ox.ac.uk/repository/oai/request,618,2807,Oxford Text Archive,yes,yes,,,ox,https://ota.bodleian.ox.ac.uk/repository/xmlui/,,dspace,dspace,oai_dc,2013-11-19T12:58:00+00:00,"{'countryCode': 'GB', 'latitude': 51.7466, 'longitude': -1.2709}",https://api.core.ac.uk/data-providers/618/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,https://ora.ox.ac.uk/?utf8=%E2%9C%93&q=&search_field=all_fields for website search
qmro.qmul.ac.uk/oai/request,619,2185,Queen Mary Research Online,yes,yes,scholarlycommunications@qmul.ac.uk,,qmul,https://qmro.qmul.ac.uk,,dspace,dspace,oai_dc,2013-11-19T12:58:03+00:00,"{'countryCode': 'GB', 'latitude': 51.5238, 'longitude': 0.0399}",https://api.core.ac.uk/data-providers/619/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
research-repository.st-andrews.ac.uk/dspace-oai/request,95,901,St Andrews Research Repository,no,yes,open-access-support@st-andrews.ac.uk,,st-andrews,http://research-repository.st-andrews.ac.uk,,dspace,dspace,oai_dc,2011-07-07T16:11:00+01:00,"{'countryCode': 'GB', 'latitude': 56.34214, 'longitude': -2.79637}",https://api.core.ac.uk/data-providers/95/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
cronfa.swan.ac.uk/OAI/Server,24,1590,Cronfa at Swansea University,no,yes,iss-research@swansea.ac.uk,,swan,https://cronfa.swan.ac.uk,,dspace,dspace,oai_dc,2011-05-12T20:43:57+01:00,"{'countryCode': 'GB', 'latitude': 51.608, 'longitude': -4.0628}",https://api.core.ac.uk/data-providers/24/logo,REPOSITORY,,No,50407,No error,0,Does not contain software,Search type is computer program
aura.abdn.ac.uk/dspace-oai/request,1,1767,Aberdeen University Research Archive,no,no,aura.deposit@abdn.ac.uk,,abdn,http://aura.abdn.ac.uk,,dspace,dspace,oai_dc,2011-05-06T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 57.165, 'longitude': -2.0991}",https://api.core.ac.uk/data-providers/1/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
research.bangor.ac.uk/ws/oai,28,1523,Bangor University Research Portal,no,no,repository@bangor.ac.uk,,bangor,https://research.bangor.ac.uk/portal/en/researchoutputs,,dspace,dspace,oai_dc,2011-05-13T08:41:29+01:00,"{'countryCode': 'GB', 'latitude': 53.2185, 'longitude': -4.1546}",https://api.core.ac.uk/data-providers/28/logo,REPOSITORY,,No,0,Bad Argument Error,8,Contains software,
bradscholars.brad.ac.uk/dspace-oai/request,10,1460,Bradford Scholars,no,no,repository@bradford.ac.uk,,brad/,https://bradscholars.brad.ac.uk,,dspace,dspace,oai_dc,2011-05-09T22:33:07+01:00,"{'countryCode': 'gb', 'latitude': 53.7917, 'longitude': -1.7674}",https://api.core.ac.uk/data-providers/10/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
bura.brunel.ac.uk/oai/request,14,,Brunel University Research Archive,no,no,bura@brunel.ac.uk,,brunel,https://bura.brunel.ac.uk,,dspace,dspace,oai_dc,2011-05-11T14:18:01+01:00,"{'countryCode': 'GB', 'latitude': 51.5324044, 'longitude': -0.4729931}",https://api.core.ac.uk/data-providers/14/logo,REPOSITORY,,No,0,No error,0,No direct software search capability,
